Improvement,Base Price,Improved Price,Value Increase,Cost,ROI,Neighborhood
Increase Quality by 1,205982.01953091845,220943.90026462218,14961.880733703729,15000,-0.2541284419751433,NWAmes
Increase Quality by 1,210748.0977743467,225709.97850805044,14961.880733703729,15000,-0.2541284419751433,Mitchel
Increase Quality by 1,243282.01592520316,258243.8966589069,14961.880733703729,15000,-0.2541284419751433,NoRidge
Increase Quality by 1,210812.45531567174,225774.33604937547,14961.880733703729,15000,-0.2541284419751433,Gilbert
Increase Quality by 1,263785.24864194903,278747.12937565276,14961.880733703729,15000,-0.2541284419751433,StoneBr
Increase Quality by 1,212348.70030058658,227310.5810342903,14961.880733703729,15000,-0.2541284419751433,IDOTRR
Increase Quality by 1,221904.96546674243,236866.84620044616,14961.880733703729,15000,-0.2541284419751433,MeadowV
Increase Quality by 1,208580.94045248907,223542.8211861928,14961.880733703729,15000,-0.2541284419751433,SawyerW
Increase Quality by 1,249626.35156851605,264588.2323022198,14961.880733703729,15000,-0.2541284419751433,NridgHt
Increase Quality by 1,233870.64637598218,248832.5271096859,14961.880733703729,15000,-0.2541284419751433,BrDale
Kitchen Remodel,205982.01953091845,214006.64554233605,8024.626011417597,15000,-46.502493257216024,NWAmes
Kitchen Remodel,210748.0977743467,218772.7237857643,8024.626011417597,15000,-46.502493257216024,Mitchel
Kitchen Remodel,243282.01592520316,251306.64193662076,8024.626011417597,15000,-46.502493257216024,NoRidge
Kitchen Remodel,210812.45531567174,218837.08132708934,8024.626011417597,15000,-46.502493257216024,Gilbert
Kitchen Remodel,263785.24864194903,271809.8746533666,8024.626011417597,15000,-46.502493257216024,StoneBr
Kitchen Remodel,212348.70030058658,220373.32631200415,8024.6260114175675,15000,-46.502493257216216,IDOTRR
Kitchen Remodel,221904.96546674243,229929.59147816,8024.6260114175675,15000,-46.502493257216216,MeadowV
Kitchen Remodel,208580.94045248907,216605.56646390667,8024.626011417597,15000,-46.502493257216024,SawyerW
Kitchen Remodel,249626.35156851605,257650.97757993362,8024.6260114175675,15000,-46.502493257216216,NridgHt
Kitchen Remodel,233870.64637598218,241895.27238739975,8024.6260114175675,15000,-46.502493257216216,BrDale
Add Full Bathroom,205982.01953091845,210534.09873000853,4552.079199090076,10000,-54.479208009099246,NWAmes
Add Full Bathroom,210748.0977743467,215300.17697343678,4552.079199090076,10000,-54.479208009099246,Mitchel
Add Full Bathroom,243282.01592520316,247834.09512429326,4552.079199090105,10000,-54.47920800909895,NoRidge
Add Full Bathroom,210812.45531567174,215364.53451476182,4552.079199090076,10000,-54.479208009099246,Gilbert
Add Full Bathroom,263785.24864194903,268337.3278410391,4552.079199090076,10000,-54.479208009099246,StoneBr
Add Full Bathroom,212348.70030058658,216900.77949967666,4552.079199090076,10000,-54.479208009099246,IDOTRR
Add Full Bathroom,221904.96546674243,226457.04466583254,4552.079199090105,10000,-54.47920800909895,MeadowV
Add Full Bathroom,208580.94045248907,213133.01965157918,4552.079199090105,10000,-54.47920800909895,SawyerW
Add Full Bathroom,249626.35156851605,254178.43076760613,4552.079199090076,10000,-54.479208009099246,NridgHt
Add Full Bathroom,233870.64637598218,238422.72557507228,4552.079199090105,10000,-54.47920800909895,BrDale
Basement Finishing,205982.01953091845,220629.1339403325,14647.114409414062,20000,-26.764427952929694,NWAmes
Basement Finishing,210748.0977743467,225395.21218376077,14647.114409414062,20000,-26.764427952929694,Mitchel
Basement Finishing,243282.01592520316,257929.13033461722,14647.114409414062,20000,-26.764427952929694,NoRidge
Basement Finishing,210812.45531567174,225459.5697250858,14647.114409414062,20000,-26.764427952929694,Gilbert
Basement Finishing,263785.24864194903,278432.3630513631,14647.114409414062,20000,-26.764427952929694,StoneBr
Basement Finishing,212348.70030058658,226995.81471000062,14647.114409414033,20000,-26.764427952929836,IDOTRR
Basement Finishing,221904.96546674243,236552.07987615647,14647.114409414033,20000,-26.764427952929836,MeadowV
Basement Finishing,208580.94045248907,223228.05486190313,14647.114409414062,20000,-26.764427952929694,SawyerW
Basement Finishing,249626.35156851605,264273.4659779301,14647.114409414062,20000,-26.764427952929694,NridgHt
Basement Finishing,233870.64637598218,248517.76078539624,14647.114409414062,20000,-26.764427952929694,BrDale
