Feature,Coefficient,Importance,Category
overall_qual,-61364.8306204556,61364.8306204556,Quality
neighborhood_GrnHill,60581.31508386623,60581.31508386623,Location
overall_qual2,59062.21589309337,59062.21589309337,Quality
log_total_sf,33513.322242638285,33513.322242638285,Size
total_sf,-24102.7689330388,24102.7689330388,Size
living_area_qual,23915.194431233147,23915.194431233147,Size
neighborhood_BrDale,23390.58775446407,23390.58775446407,Location
neighborhood_Veenker,-21722.0916761788,21722.0916761788,Location
neighborhood_NWAmes,-19263.460104087102,19263.460104087102,Location
neighborhood_Greens,-16185.525701992327,16185.525701992327,Location
neighborhood_SawyerW,-15921.624917686915,15921.624917686915,Location
neighborhood_MeadowV,13848.664634230752,13848.664634230752,Location
neighborhood_CollgCr,-13778.482546937008,13778.482546937008,Location
neighborhood_Gilbert,-13643.677912952404,13643.677912952404,Location
neighborhood_StoneBr,13011.377581737837,13011.377581737837,Location
